what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345762658834
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345762662441
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1345762662593
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345762663251
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345762671244
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1345762676850
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1345762679183
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1345762681486
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345762682972
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345762685593
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1345762685699
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345762686856
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1345762694608
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345762696287
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1345762703597
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1345762704787
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345762705962
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345762710620
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1345762710724
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345762711877
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345762717217
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1345762719230
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1345762720616
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1345762722194
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345762723562
